// this is a comment, ignore
// Room: resource type, name, open for booking status, max capcity, location
// Projector: resource type, name, open for booking status, brand, model
Room,Vision,true,20,Ground Floor
Room,Empower,true,8,Level 1
Room,Achiever,true,25,Level 1
Room,Mission,true,12,Level 2
Room,Winner,false,7,Level 2
Room,Inspire,true,5,Ground Floor
Projetcor,Projector_1,true,Epson,EB-1776W
Projector,Projector_2,true,Epson,EBW-32
Projetcor,Projector_3,false,Hitachi,CP-X5022WN
Projector,Projector_4,true,BenQ,W2000

